"AcctNum","Title","Type","PY_Act","Bgt","Balance"
"10-100-00","CASH IN BANK                  ","L",-86072.41,0,-226491.96
"10-100-01","CASH\POWELL BILL FUND 114     ","A",6368.03,0,1322.77
"10-101-00","CASH POWELL BILL MRS 147      ","A",85099.44,0,67135.2
"10-101-01","CASH IN BANK MRS 017          ","A",0,0,0
"10-101-02","CASH MANAGEMENT CEMETERY      ","A",91081.54,0,92162.6
"10-101-03","CASH IN BANK - POLICE GRA     ","A",0,0,0
"10-101-07","CASH IN BANK CEMETERY 335     ","A",0,0,0
"10-101-08","CASH IN BANK  CEMETERY CD     ","A",0,0,0
"10-101-09","CASH MANAGEMENT ACCOUNT       ","A",252603.55,0,91326.1
"10-101-10","CASH IN BANK - LIBRARY        ","A",11043.51,0,1043.68
"10-106-00","PETTY CASH                    ","A",196.6,0,196.6
"10-109-00","ACCRUED INTEREST              ","A",0,0,0
"10-116-00","ACCOUNTS RECEIVABLE           ","A",0,0,0
"10-118-00","DUE FROM OTHER FUNDS          ","A",0,0,0
"10-151-00","INVESTMENTS                   ","A",0,0,0
"10-151-98","                              ","A",0,0,0
"10-200-00","ACCOUNTS PAYABLE              ","L",32753.61,0,31320.57
"10-200-01","ACCOUNTS PAYABLE PREV YRS     ","L",0,0,0
"10-221-00","FICA PAYABLE WH               ","L",-1166.72,0,38833.61
"10-222-00","FEDERAL WH                    ","L",919.22,0,-4065.06
"10-223-00","STATE OF NC WH                ","L",1187,0,5386
"10-224-00","INSURANCE DEDUCTIONS          ","L",0,0,0
"10-224-01","BACKUP WITHHOLDING            ","L",0,0,0
"10-225-00","AFLAC EMPLOYEE INSURANCE      ","L",38.56,0,-32
"10-225-01","NCMT EMPLOYEE INSURANCE       ","L",0,0,0
"10-226-00","UNIFORMS                      ","L",0,0,0
"10-227-00","401K REPAYMENT                ","L",279.78,0,2128.08
"10-228-00","EMPLOYEE RETIREMENT           ","L",6572.19,0,10157.9
"10-228-02","401K LOAN REPAYMENT           ","L",0,0,0
"10-229-00","CHILD SUPPORT GARNISH         ","L",1180.74,0,1116.01
"10-241-96","TAXES COLLECTED IN ADV 97     ","L",3102.5,0,0
"10-242-01","DUE TO CDBG FUND              ","L",0,0,0
"10-242-02","DUE TO CLEAN WATER            ","L",0,0,0
"10-243-00","DUE TO WATER & SEWER          ","L",0,0,0
"10-244-00","W & S PORTION OF CASH         ","L",0,0,0
"10-245-00","MOTOR VEHICLE TAX PREPAID     ","L",0,0,0
"10-250-00","DUE TO/FROM FUND              ","L",-16068,0,1206.93
"10-281-00","RESERVE FOR TAX RECEIVABL     ","L",51031.32,0,37456.49
"10-289-00","RESERVE FOR POWELL BILL       ","L",105983,0,69446.76
"10-299-00","FUND BALANCE                  ","L",393401.92,0,412575.48
"10-299-01","SUSPENSE                      ","L",0,0,0
"10-299-98","                              ","L",0,0,0
"10-301-00","TAXES                         ","R",6659.69,0,9.08
"10-301-05","IN LIEU OF TAXES              ","R",2432,2400,3321
"10-301-06","HALIFAX CO MOTOR VEH TAX      ","R",38282.21,37000,28467.73
"10-301-79","PREVIOUS YEARS TAXES          ","R",0,10000,222.96
"10-317-00","TAX PENALTY & INTEREST        ","R",816.63,1050,1882.96
"10-329-01","INTEREST ON POWELL BILL       ","R",45.79,40,35.76
"10-329-02","INTEREST ON CASH MANAGEMT     ","R",1502.32,1200,2812.54
"10-329-03","CEMETERY CM INTEREST          ","R",439.53,360,1081.06
"10-329-04","INTEREST ON Library Acct      ","R",4.51,5,.17
"10-331-00","RENTAL PROPERTY               ","R",3207.36,3300,3064.2
"10-334-00","BOARD OF ADJUSTMENT FEES      ","R",400,300,800
"10-335-00","MISCELLANEOUS REVENUE         ","R",836.27,450,20187.35
"10-335-01","RENT-HAWFIELD BLDG            ","R",0,50,100
"10-337-00","NC UTILITY FRANCHISE TAX      ","R",55193.14,52000,54072.11
"10-339-00","SOLID WASTE TAX               ","R",438.54,500,442.47
"10-341-00","NC BEER & WINE TAX            ","R",2946.54,0,2802.33
"10-342-00","HALIFAX CO ABC DISTR          ","R",989,2600,1000
"10-343-00","POWELL BILL FUNDS             ","R",24304.7,24800,24089.75
"10-343-01","POWELL BILL FUND BALANCE      ","R",0,60000,0
"10-345-00","LOCAL OPTION SALES TAX        ","R",108147.83,100000,107925.96
"10-351-00","COURT COSTS & FEES            ","R",132.19,100,176.71
