"Acct Number","Date","Description","Reference","Debit","Credit"
"10-100-00","07/01/17","Opening Entry       ","Sys     ",86072.41,0
"10-100-01","07/01/17","Opening Entry       ","Sys     ",6368.03,0
"10-101-00","07/01/17","Opening Entry       ","Sys     ",85099.44,0
"10-101-02","07/01/17","Opening Entry       ","Sys     ",91081.54,0
"10-101-05","07/01/17","Opening Entry       ","Sys     ",0,6353.05
"10-101-09","07/01/17","Opening Entry       ","Sys     ",252603.55,0
"10-101-10","07/01/17","Opening Entry       ","Sys     ",11043.51,0
"10-106-00","07/01/17","Opening Entry       ","Sys     ",196.6,0
"10-110-00","07/01/17","Opening Entry       ","Sys     ",51031,0
"10-110-10","07/01/17","Opening Entry       ","Sys     ",.32,0
"10-116-03","07/01/17","Opening Entry       ","Sys     ",16331.03,0
"10-117-50","07/01/17","Opening Entry       ","Sys     ",5393.28,0
"10-117-51","07/01/17","Opening Entry       ","Sys     ",2335.62,0
"10-200-00","07/01/17","Opening Entry       ","Sys     ",0,32753.61
"10-221-00","07/01/17","Opening Entry       ","Sys     ",1166.72,0
"10-222-00","07/01/17","Opening Entry       ","Sys     ",0,919.22
"10-223-00","07/01/17","Opening Entry       ","Sys     ",0,1187
"10-225-00","07/01/17","Opening Entry       ","Sys     ",0,38.56
"10-227-00","07/01/17","Opening Entry       ","Sys     ",0,279.78
"10-227-01","07/01/17","Opening Entry       ","Sys     ",0,266.44
"10-227-02","07/01/17","Opening Entry       ","Sys     ",0,12.65
"10-228-00","07/01/17","Opening Entry       ","Sys     ",0,6572.19
"10-228-01","07/01/17","Opening Entry       ","Sys     ",0,1993.26
"10-229-00","07/01/17","Opening Entry       ","Sys     ",0,1180.74
"10-240-01","07/01/17","Opening Entry       ","Sys     ",3102.5,0
"10-241-96","07/01/17","Opening Entry       ","Sys     ",0,3102.5
"10-250-00","07/01/17","Opening Entry       ","Sys     ",16068,0
"10-281-00","07/01/17","Opening Entry       ","Sys     ",0,51031.32
"10-289-00","07/01/17","Opening Entry       ","Sys     ",0,105983
"10-299-00","07/01/17","Opening Entry       ","Sys     ",0,420784.59
"10-960-00","07/01/17","Opening Entry       ","Sys     ",3800.83,0
"30-100-00","07/01/17","Opening Entry       ","Sys     ",0,63462.52
"30-101-05","07/01/17","Opening Entry       ","Sys     ",13056.8,0
"30-101-09","07/01/17","Opening Entry       ","Sys     ",381314.38,0
"30-103-00","07/01/17","Opening Entry       ","Sys     ",7416.93,0
"30-126-00","07/01/17","Opening Entry       ","Sys     ",45060.2,0
"30-126-01","07/01/17","Opening Entry       ","Sys     ",15088,0
"30-174-00","07/01/17","Opening Entry       ","Sys     ",7446469.02,0
"30-200-00","07/01/17","Opening Entry       ","Sys     ",0,5280.15
"30-221-00","07/01/17","Opening Entry       ","Sys     ",0,3642.9
"30-228-00","07/01/17","Opening Entry       ","Sys     ",0,3602.08
"30-228-01","07/01/17","Opening Entry       ","Sys     ",0,1242.42
"30-230-01","07/01/17","Opening Entry       ","Sys     ",0,29174.52
"30-236-00","07/01/17","Opening Entry       ","Sys     ",0,32197.95
"30-240-01","07/01/17","Opening Entry       ","Sys     ",4935.89,0
"30-255-00","07/01/17","Opening Entry       ","Sys     ",2355,0
"30-260-00","07/01/17","Opening Entry       ","Sys     ",0,199000
"30-260-01","07/01/17","Opening Entry       ","Sys     ",0,7335
"30-260-02","07/01/17","Opening Entry       ","Sys     ",0,50295.56
"30-260-03","07/01/17","Opening Entry       ","Sys     ",0,37354.5
"30-282-00","07/01/17","Opening Entry       ","Sys     ",0,91.08
"30-293-00","07/01/17","Opening Entry       ","Sys     ",0,2748974.76
"30-296-00","07/01/17","Opening Entry       ","Sys     ",0,920517.76
"30-297-00","07/01/17","Opening Entry       ","Sys     ",0,1036989
"30-298-00","07/01/17","Opening Entry       ","Sys     ",0,5017680
"30-299-00","07/01/17","Opening Entry       ","Sys     ",2245185.67,0
"30-725-00","07/01/17","Opening Entry       ","Sys     ",0,3278
"40-250-00","07/01/17","Opening Entry       ","Sys     ",0,19668
"40-299-00","07/01/17","Opening Entry       ","Sys     ",23468.83,0
"40-950-00","07/01/17","Opening Entry       ","Sys     ",0,3800.83
"60-104-00","07/01/17","Opening Entry       ","Sys     ",0,15.6
"60-299-00","07/01/17","Opening Entry       ","Sys     ",15.6,0
"70-102-00","07/01/17","Opening Entry       ","Sys     ",3028.47,0
"70-250-00","07/01/17","Opening Entry       ","Sys     ",0,4935.89
"70-260-01","07/01/17","Opening Entry       ","Sys     ",0,68257.1
"70-299-00","07/01/17","Opening Entry       ","Sys     ",70164.52,0
"10-100-00","07/03/17","PR Net              ","~       ",0,3054.84
"10-221-00","07/03/17","Soc Sec Withholdings","~       ",0,637.94
"10-221-00","07/03/17","Med Withholdings    ","~       ",0,149.19
"10-221-00","07/03/17","Soc Match Liab      ","~       ",0,381.19
"10-221-00","07/03/17","Med Match Liab      ","~       ",0,89.14
"10-222-00","07/03/17","Fed Withholdings    ","~       ",0,684.2
"10-223-00","07/03/17","State Withholdings  ","~       ",0,310
"10-225-00","07/03/17","AFLAC               ","~       ",0,35.28
"10-227-00","07/03/17","401K LOAN           ","~       ",0,369.66
"10-227-01","07/03/17","401K RET            ","~       ",0,255.92
"10-228-00","07/03/17","Ret Withholdings    ","~       ",0,548.48
"10-228-00","07/03/17","Ret Match Liab      ","~       ",0,387.63
"10-229-00","07/03/17","CHILD SUPP          ","~       ",0,96.63
"10-351-01","07/03/17","PROC FEE            ","~       ",0,6
"10-420-02","07/03/17","Wages               ","~       ",1653.86,0
"10-420-05","07/03/17","Soc Match           ","~       ",102.54,0
"10-420-05","07/03/17","Med Match           ","~       ",23.98,0
"10-420-07","07/03/17","Ret Match           ","~       ",119.9,0
"10-500-03","07/03/17","Wages               ","~       ",45.81,0
"10-500-05","07/03/17","Soc Match           ","~       ",2.84,0
"10-500-05","07/03/17","Med Match           ","~       ",.67,0
"10-510-02","07/03/17","Wages               ","~       ",3346.57,0
"10-510-03","07/03/17","Wages               ","~       ",637.5,0
"10-510-05","07/03/17","Soc Match           ","~       ",207.49,0
"10-510-05","07/03/17","Soc Match           ","~       ",39.52,0
"10-510-05","07/03/17","Med Match           ","~       ",48.52,0
"10-510-05","07/03/17","Med Match           ","~       ",9.24,0
"10-510-07","07/03/17","Ret Match           ","~       ",267.73,0
"10-560-03","07/03/17","Wages               ","~       ",441.49,0
"10-560-05","07/03/17","Soc Match           ","~       ",27.38,0
"10-560-05","07/03/17","Med Match           ","~       ",6.4,0
"10-630-03","07/03/17","Wages               ","~       ",22.91,0
"10-630-05","07/03/17","Soc Match           ","~       ",1.42,0
"10-630-05","07/03/17","Med Match           ","~       ",.33,0
"30-100-00","07/03/17","PR Net              ","~       ",0,4141
"30-221-00","07/03/17","Soc Match Liab      ","~       ",0,256.75
"30-221-00","07/03/17","Med Match Liab      ","~       ",0,60.05
"30-228-00","07/03/17","Ret Match Liab      ","~       ",0,300.22
"30-810-03","07/03/17","Wages               ","~       ",948.38,0
"30-810-05","07/03/17","Soc Match           ","~       ",58.8,0
"30-810-05","07/03/17","Med Match           ","~       ",13.75,0
"30-810-07","07/03/17","Ret Match           ","~       ",68.76,0
"30-811-02","07/03/17","Wages               ","~       ",3192.62,0
"30-811-05","07/03/17","Soc Match           ","~       ",197.95,0
"30-811-05","07/03/17","Med Match           ","~       ",46.3,0
"30-811-07","07/03/17","Ret Match           ","~       ",231.46,0
"10-228-00","07/05/17","NC ORBIT JUNE 2017  ","07052017",1759.7,0
"30-228-00","07/05/17","NC ORBIT JUNE 2017  ","07052017",462.92,0
"10-101-09","07/05/17","NC ORBIT JUNE 2017  ","07052017",0,1759.7
"30-101-09","07/05/17","NC ORBIT JUNE 2017  ","07052017",0,462.92
"30-811-16","07/13/17","LIT. LAKE GASTON AUT","June 201",153.88,0
"10-510-17","07/13/17","LIT. LAKE GASTON AUT","June 201",371.28,0
"10-560-16","07/13/17","LIT. LAKE GASTON AUT","June 201",27.81,0
"10-200-00","07/13/17","LIT. LAKE GASTON AUT","June 201",0,399.09
"30-200-00","07/13/17","LIT. LAKE GASTON AUT","June 201",0,153.88
"10-510-14","07/13/17","HALIFAX WORKS       ","00013660",102,0
"10-200-00","07/13/17","HALIFAX WORKS       ","00013660",0,102
"10-510-14","07/13/17","HALIFAX WORKS       ","00013692",102,0
"10-200-00","07/13/17","HALIFAX WORKS       ","00013692",0,102
