"AcctNum","Title","Type","PY_Act","Bgt","Balance"
"10-100-0000","ASSETS                        ","A",0,0,0
"10-100-0100","CASH                          ","A",133648.41,0,259075.23
"10-100-0200","PETTY CASH                    ","A",300,0,300
"10-100-0300","CASH MANAGEMENT TRUST         ","A",1049674.21,0,1268960.96
"10-100-0500","CASH - ESCROW BB&T (VASS)     ","A",493671.06,0,0
"10-100-0700","ACCOUNTS RECEIVABLE/UTILITIES ","A",538263.31,0,276238.77
"10-100-0710","OTHER RECEIVABLES             ","A",16384.77,0,2829.07
"10-100-0711","OTHER RECEIVABLES - JACKSON HA","A",183243.45,0,183243.45
"10-100-0712","ACCOUNTS RECEIVABLE-GAS TAX   ","A",1852.06,0,0
"10-100-0720","COUNTY SALES TAX              ","A",13297.4400000001,0,20587.46
"10-100-0740","STATE SALES TAX               ","A",26552.36,0,41107.61
"10-100-0750","ALLOWANCE FOR BAD DEBT        ","A",-5000,0,-5000
"10-100-0800","INVENTORY                     ","A",106770.68,0,106770.68
"10-100-0850","CIP - VASS SEWER EXT          ","A",2.91038304567337D-11,0,0
"10-100-0853","WIP - CENTRAL OFFICE COMP     ","A",1.16415321826935D-10,0,0
"10-100-0900","FIXED ASSETS                  ","A",10717354.94,0,10709712.27
"10-100-1000","ACCUMULATED DEPRECIATION      ","A",-1502040.14,0,-1502040.14
"10-200-0000","LIABILITIES                   ","L",0,0,0
"10-200-0100","ACCOUNTS PAYABLE              ","L",506508.759999999,0,308380.02
"10-200-0200","ACCOUNTS PAYABLE - DEPOSITS   ","L",13745,0,14550
"10-200-0250","ACCRUED WAGES                 ","L",0,0,0
"10-200-0300","ACCRUED INTEREST              ","L",15812.68,0,15812.68
"10-200-0400","FEDERAL WITHHOLDING           ","L",3792.58,0,0
"10-200-0405","EARNED INCOME CREDIT          ","L",0,0,0
"10-200-0500","STATE WITHHOLDING             ","L",-2.27373675443232D-13,0,0
"10-200-0600","HOSPITAL INSURANCE - EMPLOYEE ","L",-901.539999999999,0,565.24
"10-200-0700","HOSPITAL INSURANCE - EMPLOYER ","L",0,0,0
"10-200-0900","FICA WITHHOLDING/FICA MATCH   ","L",1321.28,0,0
"10-200-1000","LOCAL GOVT RETIREMENT         ","L",4336.52,0,2240.31
"10-200-1100","MATCHING RETIREMENT           ","L",3671.65,0,1848.25
"10-200-1200","OTHER DEDUCTIONS              ","L",825.109999999994,0,-5.22999999999999
"10-200-1300","401K-EMPLOYEE                 ","L",0,0,0
"10-200-1400","401K-EMPLOYER                 ","L",0,0,0
"10-200-1600","LOCAL CREDIT UNION            ","L",0,0,0
"10-200-1700","ACCRUED VACATION PAY          ","L",88013.49,0,88013.49
"10-200-1800","FINANCING AGREEMENTS PAYABLE  ","L",8020205.93,0,7774795.58
"10-200-1900","RESERVES                      ","L",895254,0,895254
"10-200-3000","RETAINED EARNINGS             ","L",1434227.97,0,2133713.43
"10-300-0000","MOWASA REVENUE ACCOUNTS       ","R",0,0,0
"10-300-0005","MISCELLANEOUS INCOME          ","R",3798.92,0,0
"10-300-0010","INTEREST EARNED               ","R",88771.61,70000,29666.44
"10-300-0012","FUND BALANCE REVENUE          ","R",0,95762,0
"10-300-0015","INSURANCE PROCEEDS            ","R",6590,0,1161.38
"10-320-0012","GARBAGE - VASS                ","R",1086.32,1200,1173.9
"10-320-0020","ESCROW FUNDING - VASS SEWER EX","R",0,493671,0
"10-340-0020","WASTEWATER PLANT CONTRACT SVC ","R",99996,100000,41665
"10-340-0025","PRETREATMENT PROGRAM FEES     ","R",12096,14000,3491.1
"10-340-0030","PUBLIC MGMNT ENTITY FEES      ","R",20052.34,22000,5022.06
"10-340-0035","COMMERCIAL LAB FEES           ","R",68927.29,70000,29033.6
"10-340-0040","SEPTIC TANK FEES              ","R",42623.25,40000,6760.24
"10-340-0045","PINEBLUFF MANUFACTURING       ","R",5232.28,4500,1114.8
"10-340-0047","TOWN OF ABERDEEN              ","R",9064.21,9500,1932
"10-400-0000","MOWASA EXPENSE ACCOUNTS       ","E",0,0,0
"10-410-0000","ADMINISTRATIVE EXPENSES       ","E",0,0,0
"10-410-1210","SALARIES                      ","E",248758.62,298000,106065.3
"10-410-1211","OVERTIME/HOLIDAY PAY          ","E",6071.97,9900,3386.39
"10-410-1215","CERTIFICATION PROGRAM         ","E",0,0,0
"10-410-1220","LONGEVITY                     ","E",3647.27,3970,0
"10-410-1810","SOCIAL SECURITY               ","E",4904.39,4490,1591.5
"10-410-1820","RETIREMENT                    ","E",12018.44,15000,5232.77
"10-410-1825","DEFERRED COMP                 ","E",15487.53,20000,6546.31
"10-410-1830","HEALTH INSURANCE              ","E",17787,24310,7650
"10-410-1835","LIFE INSURANCE                ","E",1446.78,1900,559.52
"10-410-1860","WORKERS COMPENSATION          ","E",11966.85,17400,11351
"10-410-1880","EMPLOYEE PHYSICAL EXAMS       ","E",0,0,0
"10-410-1890","PROFESSIONAL LIABILITY        ","E",1676,2000,1762.2
"10-410-1990","PROFESSIONAL SERVICES - ACCTIN","E",8250,10000,6000
"10-410-1992","RATE STUDY                    ","E",4930,7000,9250
"10-410-1995","PROFESSIONAL SERVICES - LEGAL ","E",14767.78,19200,11475
"10-410-2610","OFFICE SUPPLIES               ","E",15537.53,18000,5330.16
"10-410-2620","TRAVEL/TRAINING               ","E",1243.42,5000,226.8
"10-410-2625","TRAVEL/TRAINING-OFFICERS      ","E",6187.05,6000,2328.13
"10-410-2630","TELEPHONE                     ","E",9454.93,15000,4608.92
