A:\STARS\STARS1F.DAT ... Disk Full.
A:\STARS\STARS1B.DAT ... Path not found
A:\STARS\STARS1C.DAT ... Path not found
A:\STARS\STARS1D.DAT ... Path not found
A:\STARS\STARS1E.DAT ... Path not found
A:\STARS\STARS1F.DAT ... Path not found
A:\STARS\STARS1I.DAT ... Path not found
A:\STARS\STARS1M.KEY ... Path not found
A:\STARS\STARS1N.KEY ... Path not found
A:\STARS\SSI001.RTE ... Path not found
A:\STARS\~CFG.DAT ... Path not found
A:\STARS\~NOT.DAT ... Path not found
A:\STARS\~RTE.DAT ... Path not found
