"AcctNum","Title","Type","PY_Act","Bgt","Balance"
"10-1320-200","INTERFUND REC POWELL BILL     ","A",0,0,0
"10-2140-001","CONTRACTORS PAYABLE           ","L",0,0,23175
"10-2600-000","DEFERRED REV-ASSESSMENTS      ","L",0,0,263.41
"10-3191-110","PRIOR YEARS TAX               ","R",0,1598,732.12
"10-3191-180","PRIOR YEAR PENALTIES          ","R",0,108,38.76
"10-4110-170","STIPEND                       ","E",0,8000,4000
"10-4110-311","TRAVEL                        ","E",0,976,66.65
"10-3193-180","INTEREST ON DELINQUENT TX     ","R",0,800,0
"10-3194-110","CURRENT YEAR TAX              ","R",0,563500,141121.21
"10-3194-120","MOTOR VEHICLE TAX             ","R",0,14170,7524.66
"10-3231-351","1% LOCAL OPTION SALES 39      ","R",0,133120,51038.74
"10-3232-351","1/2% LOC OPT SALES TAX 40     ","R",0,58300,22575.84
"10-3233-351","1/2% LOC OPT SALES TAX 42     ","R",0,56970,22396.02
"10-3260-110","PRIVILEGE LICENSE TX          ","R",0,100,45
"10-3270-110","ACCOMODATIONS TAX             ","R",0,490000,411228.16
"10-3301-330","COP FAST                      ","R",0,20768,0
"10-3301-352","GASOLINE EXCISE TX            ","R",0,1600,0
"10-3318-310","INTANGIBLE TAX                ","R",0,7400,7318.45
"10-3319-360","MOSQUITO CONTROL GRANT        ","R",0,7200,7951
"10-3320-352","GASOLINE TAX REFUND           ","R",0,2100,926.37
"10-3320-360","CAMA MINOR PERMIT REIMBUR     ","R",0,2600,365
"10-3322-310","BEER & WINE TAX               ","R",0,4500,0
"10-3323-430","COURT FACILITIES              ","R",0,250,165
"10-3324-310","UTILITIES FRANCHISE TAX       ","R",0,52560,14359.79
"10-3325-310","FOOD STAMPS                   ","R",0,1500,1462.96
"10-3326-310","SENIOR CITIZEN TAX EXEMPT     ","R",0,40,0
"10-3327-310","INVENTORY TAX EXCLUSION       ","R",0,3500,3502.75
"10-3341-410","CAMA PERMIT FEES              ","R",0,1000,450
"10-3343-410","BUILDING PERMITS              ","R",0,190170,60678.84
"10-3343-430","CERTIFICATE OF OCCUPANCY      ","R",0,7800,1985
"10-3343-490","BUILDING PERMIT PENALTIES     ","R",0,1800,300
"10-3346-430","APPLICATION FEES/ZONING       ","R",0,300,25
"10-3431-490","POLICE FINES                  ","R",0,7000,1662
"10-3431-491","FIRE PERSONAL DONATION        ","R",0,2000,1602.66
"10-3431-492","FIRE COUNTY DONATION          ","R",0,135000,8750
"10-3831-491","INTEREST INCOME               ","R",0,33000,80.73
"10-3832-600","JINKS CREEK DREDGING          ","R",0,10000,0
"10-3832-610","STREET ASSESSMENT             ","R",0,16298,68.5
"10-3832-640","DREDGING ASSESSMENT           ","R",0,140,0
"10-3832-650","UNDERGROUND ASSESSMENT        ","R",0,17000,0
"10-3832-680","INTEREST ON ASSESSMENTS       ","R",0,600,31.5
"10-3837-840","ABC REVENUES LOCAL STORE      ","R",0,15100,7675.29
"10-3837-890","ABC LAW ENFORCEMENT           ","R",0,700,340
"10-3839-890","MISCELLANEOUS REVENUES        ","R",0,41207,392.5
"10-4110-186","WORKER'S COMPENSATION         ","E",0,0,300
"10-4110-220","FOOD AND PROVISIONS           ","E",0,200,11.29
"10-4110-312","TRAVEL SUBSISTENCE            ","E",0,100,58.58
"10-4110-491","DUES & SUBSCRIPTIONS          ","E",0,1751,1718
"10-4110-499","MISCELLANEOUS                 ","E",0,10,184.6
"10-4120-121","SALARIES & WAGES              ","E",0,147647,86816.98
"10-4120-181","FICA                          ","E",0,11295,6484.97
"10-4120-182","RETIREMENT FUND               ","E",0,7219,4382.83
"10-4120-183","LIFE & MEDICAL INSURANCE      ","E",0,10947,6516.6
"10-4120-184","EMPLOYEE ASSISTANCE PLAN      ","E",0,1515,368.54
"10-4120-185","UNEMPLOYMENT INSURANCE        ","E",0,50,0
"10-4120-186","WORKER'S COMPENSATION         ","E",0,7000,2432
"10-4120-189","401K                          ","E",0,12542,0
"10-4120-193","DRUG TESTING                  ","E",0,465,40
"10-4120-199","ENGINEERING FEES              ","E",0,300,2320
"10-4120-231","EDUCATIONAL                   ","E",0,730,235
"10-4120-251","GAS & OIL                     ","E",0,1450,477.7
"10-4120-252","TIRES & TUBES                 ","E",0,600,55.66
"10-4120-253","VEHICLE PARTS                 ","E",0,60,0
"10-4120-260","OFFICE SUPPLIES               ","E",0,7630,1915.63
"10-4120-290","COMPUTER SUPPLIES             ","E",0,5750,492.9
"10-4120-300","RECORDING FEES                ","E",0,400,42
"10-4120-311","TRAVEL                        ","E",0,1320,567.94
"10-4120-312","TRAVEL SUBSISTENCE            ","E",0,800,269.08
"10-4120-321","TELEPHONE                     ","E",0,4320,1016.63
"10-4120-325","POSTAGE                       ","E",0,5700,1568.05
"10-4120-329","FAX                           ","E",0,600,243.76
"10-4120-340","PRINT & POSTAGE NEWSLETTR     ","E",0,5300,2041.75
"10-4120-342","OPERATING OF COPY MACHINE     ","E",0,1500,650
"10-4120-349","DECALS                        ","E",0,950,0
"10-4120-352","EQUIP REPAIR MAINTENANCE      ","E",0,1800,50
"10-4120-353","VEHICLE REPAIR                ","E",0,1000,561.19
"10-4120-380","COMPUTER SERVICE              ","E",0,18620,4042.52
"10-4120-391","ADVERTISING                   ","E",0,1300,3787.48
"10-4120-392","UNIFORMS                      ","E",0,300,0
"10-4120-430","POSTAGE METER RENTAL          ","E",0,700,245
"10-4120-440","CONTRACTS RADIOS & COMP       ","E",0,800,366
"10-4120-450","INSURANCE AND BONDS           ","E",0,15000,8010.6
"10-4120-455","BANK CHARGES                  ","E",0,3671,0
"10-4120-491","DUES AND SUBSCRIPTIONS        ","E",0,539,952.77
"10-4120-499","MISCELLANEOUS                 ","E",0,3928,1486.71
"10-4130-121","SALARIES AND WAGES            ","E",0,14500,19259.86
"10-4130-181","FICA                          ","E",0,1109,1473.41
"10-4130-191","AUDIT                         ","E",0,22000,12600
"10-4140-300","RECORDING FEES                ","E",0,50,0
"10-4140-320","POSTAGE                       ","E",0,650,0
"10-4140-340","PRINTING                      ","E",0,-125,0
"10-4140-382","1.5% COLL FEE VEHICLE TAX     ","E",0,450,113.39
"10-4140-391","ADVERTISING                   ","E",0,200,0
"10-4140-399","COMPUTER PRINTOUT             ","E",0,25,0
"10-4190-211","JANITORIAL/CLEAN SUPPLIES     ","E",0,600,651.38
"10-4190-240","MAINT & REPAIR BLDGS          ","E",0,6875,5730.84
"10-4190-266","DEPT. SUPPLIES                ","E",0,2100,838.3
"10-4190-329","TOWN ENTRANCE SIGN            ","E",0,0,225
"10-4190-331","UTILITIES                     ","E",0,7700,3950.61
"10-4190-351","MAINT. OF GROUNDS             ","E",0,5000,3821.41
"10-4190-359","BEAUTIFICATION                ","E",0,4000,769.59
"10-4190-394","CLEANING TOWN HALL            ","E",0,8000,3385
"10-4190-510","EQUIP AND FURNISHINGS         ","E",0,575,1591.13
"10-4310-121","SALARIES AND WAGES            ","E",0,289781,225249.29
"10-4310-181","FICA                          ","E",0,22136,16926.81
"10-4310-182","RETIREMENT FUND               ","E",0,12919,10484.82
"10-4310-183","LIFE & MEDICAL INSURANCE      ","E",0,29193,19271.6
"10-4310-186","WORKER'S COMPENSATION         ","E",0,12100,5975.77
"10-4310-189","401K                          ","E",0,12585,441.58
"10-4310-193","DRUG TESTING                  ","E",0,600,100
"10-4310-194","NEW EMPLOYEE PHYSICAL         ","E",0,3044,150
"10-4310-212","UNIFORMS                      ","E",0,18700,3259
"10-4310-231","EDUCATIONAL                   ","E",0,500,846
"10-4310-241","OFFICER'S SEPERATION FUND     ","E",0,8251,0
"10-4310-251","GAS & OIL                     ","E",0,9080,6169.92
"10-4310-252","TIRES & TUBES                 ","E",0,2200,1073.75
