"AcctNum","Title","Type","PY_Act","Bgt","Balance"
"10-0300-000","ELECTRICAL DEPT.              ","E",0,0,0
"10-0300-001","PASS THRU TRASH               ","R",-781.810000000001,0,-3120.67
"10-0300-150","ELECTRIC PLANT IN SERVICE     ","A",1992308.58,0,1992308.58
"10-0300-168","MISCELLANEOUS ELECT EQUIP     ","A",91475.61,0,91475.61
"10-0300-301","SALES TO GENERAL CUSTOMER     ","R",1664236.55,1700000,1158819.99
"10-0300-304","SALES TO TOWN - MCCORMICK     ","R",23558.7,0,16528.06
"10-0300-310","INTERDEPARTMENTAL SALES       ","R",235.73,0,422.78
"10-0300-320","CUSTOMER PEN & CUTOFF FEE     ","R",45037.83,40000,33848.48
"10-0300-340","INTEREST                      ","R",14257.81,14500,11025.91
"10-0300-350","MISCELLANEOUS                 ","R",29699.36,4000,25592.02
"10-0300-360","TAP/CONNECTION FEES           ","R",-1.70530256582424D-13,1000,0
"10-0300-380","GRANT                         ","R",0,0,0
"10-0300-390","LOAN PROCEEDS                 ","R",0,0,0
"10-0300-392","PASS-THRU REVENUE             ","R",0,35000,0
"10-0300-395","FUNDS ON HAND                 ","R",0,0,0
"10-0300-401","SALARIES                      ","E",78166.67,84766,64338.52
"10-0300-403","OFFICE SALARIES               ","E",39157.95,38983,29612.01
"10-0300-404","COMMISSIONERS SALARIES        ","E",4900,4800,3600
"10-0300-408","ELECTRICITY PURCH SCE & G     ","E",1006954.42,1070000,767959.66
"10-0300-409","ELECTRICITY PURCH SEPA        ","E",28626.19,30000,19119.59
"10-0300-410","ELECTRICITY PURCH L/R         ","E",-194.99,0,0
"10-0300-411","CHEMICAL                      ","E",0,0,0
"10-0300-412","MATERIAL/SUPPLIES/OTHER       ","E",33139.82,55500,17041.04
"10-0300-413","OFFICE SUPPLIES/EXPENSES      ","E",2150.96,2000,1986.51
"10-0300-414","AUTO/TRUCK REPAIRS            ","E",3579.44,15000,7347.2
"10-0300-415","POSTAGE                       ","E",1567.78,1300,1022.74
"10-0300-416","TELEPHONE                     ","E",1888.42,1500,1273.08
"10-0300-417","PROFESSIONAL FEES             ","E",1645.74,15000,1245.07
"10-0300-418","INSURANCE GROUP               ","E",10580,10648,7831.9
"10-0300-419","INSURANCE OTHER               ","E",6949.73,9500,8396.02
"10-0300-420","RETIREMENT EXPENSE            ","E",7010.16,8905,10721.03
"10-0300-421","FICA EXPENSE                  ","E",7881.24,9945,6342.48
"10-0300-422","EQUIPMENT REPAIR/MAINT.       ","E",5386.78,18000,2235.82
"10-0300-423","COMMUNICATIONS EQUIP. REP     ","E",786.98,2000,834.17
"10-0300-424","DEPRECIATION                  ","E",0,0,0
"10-0300-425","INTEREST/LONG TERM DEBT       ","E",0,0,0
"10-0300-426","BAD DEBT                      ","E",596.47,1000,0
"10-0300-427","SERVICES/FACILITIES SYS.      ","E",235.73,250,422.78
"10-0300-428","MISCELLANEOUS                 ","E",7588.1,7000,4708.17
"10-0300-429","CONTRIBUTIONS TO TOWN         ","E",23558.7,25000,16528.06
"10-0300-430","BUILDING REPAIRS              ","E",2007.7,5000,9
"10-0300-431","DHEC PERMITS                  ","E",0,0,0
"10-0300-437","RENTAL UNIFORMS               ","E",4348.9,4900,3736.65
"10-0300-438","CONTRACT EXPENSE              ","E",1629.03,1000,192.66
"10-0300-439","EDUCATION EXPENSE             ","E",1252.2,2000,1524.02
"10-0300-440","CPW - UTILITY BILL WT/SW      ","E",0,2500,0
"10-0300-441","SC DEPT OF CORRECTIONS        ","E",0,0,0
"10-0300-442","AMORTIZATION EXPENSE          ","E",180,0,0
"10-0300-443","MISC SUPPLIES/PARTS           ","E",2.51,0,20.62
"10-0300-444","SLUDGE REMOVAL/DISPOSAL       ","E",0,0,0
