"Acct Number","Date","Description","Reference","Debit","Credit"
"10-0300-150","07-01-1999","Opening Entry       ","Sys     ",1992308.58,0
"10-0300-168","07-01-1999","Opening Entry       ","Sys     ",91475.61,0
"10-0400-150","07-01-1999","Opening Entry       ","Sys     ",4950765.76,0
"10-0400-168","07-01-1999","Opening Entry       ","Sys     ",90853.71,0
"10-0500-150","07-01-1999","Opening Entry       ","Sys     ",4106010.44,0
"10-0500-168","07-01-1999","Opening Entry       ","Sys     ",110480.01,0
"10-1000-000","07-01-1999","Opening Entry       ","Sys     ",50,0
"10-1010-000","07-01-1999","Opening Entry       ","Sys     ",400,0
"10-1020-000","07-01-1999","Opening Entry       ","Sys     ",373208.28,0
"10-1030-000","07-01-1999","Opening Entry       ","Sys     ",9022.88,0
"10-1040-000","07-01-1999","Opening Entry       ","Sys     ",22843.26,0
"10-1050-000","07-01-1999","Opening Entry       ","Sys     ",7435.77,0
"10-1060-000","07-01-1999","Opening Entry       ","Sys     ",1317040.76,0
"10-1071-000","07-01-1999","Opening Entry       ","Sys     ",1000,0
"10-1080-000","07-01-1999","Opening Entry       ","Sys     ",22.75,0
"10-1081-000","07-01-1999","Opening Entry       ","Sys     ",5621.25,0
"10-1092-000","07-01-1999","Opening Entry       ","Sys     ",18713.47,0
"10-1093-000","07-01-1999","Opening Entry       ","Sys     ",24188.1,0
"10-1100-000","07-01-1999","Opening Entry       ","Sys     ",2642.18,0
"10-1103-000","07-01-1999","Opening Entry       ","Sys     ",3984,0
"10-1111-000","07-01-1999","Opening Entry       ","Sys     ",42000,0
"10-1120-000","07-01-1999","Opening Entry       ","Sys     ",142024.41,0
"10-1140-000","07-01-1999","Opening Entry       ","Sys     ",233735.94,0
"10-1151-000","07-01-1999","Opening Entry       ","Sys     ",24837.5,0
"10-1160-000","07-01-1999","Opening Entry       ","Sys     ",3295.48,0
"10-1200-000","07-01-1999","Opening Entry       ","Sys     ",225408.91,0
"10-1210-000","07-01-1999","Opening Entry       ","Sys     ",111182.67,0
"10-1400-000","07-01-1999","Opening Entry       ","Sys     ",5905.23,0
"10-1510-000","07-01-1999","Opening Entry       ","Sys     ",0,3860855.6
"10-1590-000","07-01-1999","Opening Entry       ","Sys     ",16225.49,0
"10-1600-000","07-01-1999","Opening Entry       ","Sys     ",44180.65,0
"10-1610-000","07-01-1999","Opening Entry       ","Sys     ",20295,0
