"Acct Number","Date","Description","Reference","Debit","Credit"
"10-100-02","07/01/16","Opening Entry       ","Sys     ",500,0
"10-100-03","07/01/16","Opening Entry       ","Sys     ",637022.2,0
"10-100-09","07/01/16","Opening Entry       ","Sys     ",53650.02,0
"10-100-10","07/01/16","Opening Entry       ","Sys     ",11982.62,0
"10-100-11","07/01/16","Opening Entry       ","Sys     ",500,0
"10-100-15","07/01/16","Opening Entry       ","Sys     ",618000,0
"10-100-18","07/01/16","Opening Entry       ","Sys     ",134229.43,0
"10-100-23","07/01/16","Opening Entry       ","Sys     ",301657.8,0
"10-100-24","07/01/16","Opening Entry       ","Sys     ",1862.61,0
"10-100-25","07/01/16","Opening Entry       ","Sys     ",95.63,0
"10-100-31","07/01/16","Opening Entry       ","Sys     ",0,34602.15
"10-100-32","07/01/16","Opening Entry       ","Sys     ",0,599.13
"10-100-40","07/01/16","Opening Entry       ","Sys     ",350,0
"10-100-41","07/01/16","Opening Entry       ","Sys     ",2478.57,0
"10-100-45","07/01/16","Opening Entry       ","Sys     ",68.61,0
"10-110-01","07/01/16","Opening Entry       ","Sys     ",239316.66,0
"10-110-02","07/01/16","Opening Entry       ","Sys     ",291.33,0
"10-110-03","07/01/16","Opening Entry       ","Sys     ",3502.55,0
"10-120-01","07/01/16","Opening Entry       ","Sys     ",0,337.81
"10-120-02","07/01/16","Opening Entry       ","Sys     ",351.87,0
"10-150-10","07/01/16","Opening Entry       ","Sys     ",20050.5,0
"10-150-20","07/01/16","Opening Entry       ","Sys     ",649287.96,0
"10-150-30","07/01/16","Opening Entry       ","Sys     ",478233.74,0
"10-150-40","07/01/16","Opening Entry       ","Sys     ",1052549.31,0
"10-150-50","07/01/16","Opening Entry       ","Sys     ",4022084.24,0
"10-150-60","07/01/16","Opening Entry       ","Sys     ",427384.41,0
"10-150-70","07/01/16","Opening Entry       ","Sys     ",118586.64,0
"10-150-80","07/01/16","Opening Entry       ","Sys     ",591734.74,0
"10-150-90","07/01/16","Opening Entry       ","Sys     ",525403.41,0
"10-150-95","07/01/16","Opening Entry       ","Sys     ",155245.14,0
"10-150-99","07/01/16","Opening Entry       ","Sys     ",0,2324331.98
"10-200-00","07/01/16","Opening Entry       ","Sys     ",0,16652.04
"10-200-02","07/01/16","Opening Entry       ","Sys     ",0,9327.93
"10-200-03","07/01/16","Opening Entry       ","Sys     ",0,13991.9
"10-200-04","07/01/16","Opening Entry       ","Sys     ",0,15776.02
"10-200-05","07/01/16","Opening Entry       ","Sys     ",0,16764.31
"10-200-06","07/01/16","Opening Entry       ","Sys     ",0,2109.34
"10-200-10","07/01/16","Opening Entry       ","Sys     ",0,2473.63
"10-200-12","07/01/16","Opening Entry       ","Sys     ",0,51.05
"10-200-15","07/01/16","Opening Entry       ","Sys     ",0,270.66
"10-200-16","07/01/16","Opening Entry       ","Sys     ",0,1984
"10-200-22","07/01/16","Opening Entry       ","Sys     ",0,569.27
"10-200-30","07/01/16","Opening Entry       ","Sys     ",23319.83,0
"10-200-50","07/01/16","Opening Entry       ","Sys     ",0,1913570.49
"10-210-10","07/01/16","Opening Entry       ","Sys     ",0,5716328.11
"20-100-00","07/01/16","Opening Entry       ","Sys     ",0,598.93
"20-100-01","07/01/16","Opening Entry       ","Sys     ",32233.15,0
