Account #	Customer Balance	Pers Prop Pin #
3	          $0.00	2018-2457
3	          $0.00	2018-1935
3	          $0.00	2018-434
5	          $0.00	2018-2336
5	          $0.00	2018-1519
7	          $0.00	2018-2337
10	          $1.35	2018-2597
12	      $1,247.74	2018-5
12	      $1,247.74	2018-4
13	        $250.01	2018-2623
19	         $17.22	2018-982
29	          $9.88	2018-1460
35	         $16.08	2018-2213
35	         $16.08	2018-1391
69	          $0.00	2018-1621
69	          $0.00	2018-392
72	          $0.00	2018-2308
72	          $0.00	2018-1887
72	          $0.00	2018-1764
86	          $0.00	2018-2340
107	        $394.07	2018-912
115	          $0.00	2018-996
119	         $15.92	2018-983
122	          $4.23	2018-2180
139	          $0.00	2018-519
149	          $0.00	2018-2432
156	          $0.00	2018-1047
163	          $0.00	2018-301
192	          $0.00	2018-48
201	         $70.73	2018-1472
201	         $70.73	2018-438
201	         $70.73	2018-330
203	          $0.00	2018-2385
211	      $1,490.66	2018-1055
211	      $1,490.66	2018-7
237	          $0.00	2018-449
237	          $0.00	2018-442
237	          $0.00	2018-83
241	         $29.81	2018-2160
256	      $1,491.73	2018-365
281	      $1,741.03	2018-1683
286	          $0.00	2018-1802
297	          $0.00	2018-1034
301	          $9.20	2018-2138
304	          $0.00	2018-1000
304	          $0.00	2018-612
314	          $0.00	2018-752
315	          $0.00	2018-1101
315	          $0.00	2018-331
324	          $0.00	2018-1996
332	          $2.80	2018-2348
343	          $0.00	2018-2493
343	          $0.00	2018-1374
343	          $0.00	2018-1059
352	        $116.19	2018-282
352	        $116.19	2018-47
356	          $0.00	2018-1315
356	          $0.00	2018-959
356	          $0.00	2018-168
359	          $7.31	2018-1760
371	          $0.00	2018-1768
371	          $0.00	2018-508
381	          $0.00	2018-2281
381	          $0.00	2018-1739
387	          $0.00	2018-2349
423	         $14.84	2018-1040
425	          $0.00	2018-2350
432	        $204.09	2018-2351
434	         $10.34	2018-2125
434	         $10.34	2018-2081
472	         $10.22	2018-1423
495	          $0.00	2018-1285
499	          $0.00	2018-1269
500	          $0.00	2018-1865
501	          $0.00	2018-1863
528	         $45.25	2018-1837
528	         $45.25	2018-1687
528	         $45.25	2018-398
546	          $3.08	2018-2354
548	          $0.00	2018-284
551	          $0.00	2018-1785
552	          $0.00	2018-2357
577	         $15.83	2018-2360
581	         $84.53	2018-2362
581	         $84.53	2018-2361
585	          $0.00	2018-2283
585	          $0.00	2018-1196
585	          $0.00	2018-1195
604	          $5.60	2018-2364
604	          $5.60	2018-2363
605	         $47.09	2018-2473
605	         $47.09	2018-2365
605	         $47.09	2018-2235
605	         $47.09	2018-257
630	          $7.31	2018-1762
631	          $0.00	2018-2598
631	          $0.00	2018-2255
631	          $0.00	2018-1286
631	          $0.00	2018-9
631	          $0.00	2018-3
637	         $49.11	2018-145
646	         $48.94	2018-2023
646	         $48.94	2018-221
660	         $34.27	2018-305
662	          $4.16	2018-2665
662	          $4.16	2018-2268
664	         $53.83	2018-2489
664	         $53.83	2018-1663
664	         $53.83	2018-936
673	          $0.00	2018-2096
673	          $0.00	2018-1581
674	        $429.04	2018-2565
674	        $429.04	2018-2562
676	          $0.00	2018-1955
681	          $0.00	2018-2054
681	          $0.00	2018-1841
683	          $0.00	2018-2305
683	          $0.00	2018-2248
683	          $0.00	2018-159
690	         $12.32	2018-1254
746	          $0.00	2018-2139
746	          $0.00	2018-1353
750	          $0.00	2018-954
768	         $74.23	2018-2371
774	         $26.18	2018-480
775	          $8.96	2018-2285
775	          $8.96	2018-2003
778	          $0.00	2018-2497
778	          $0.00	2018-2451
778	          $0.00	2018-1368
787	         $32.68	2018-363
788	          $0.00	2018-2446
788	          $0.00	2018-1883
788	          $0.00	2018-1807
793	          $0.00	2018-2505
793	          $0.00	2018-1134
793	          $0.00	2018-68
795	         $56.52	2018-2092
795	         $56.52	2018-1148
795	         $56.52	2018-1750
795	         $56.52	2018-462
799	         $44.72	2018-2452
816	         $92.78	2018-1061
827	      $1,388.32	2018-1417
827	      $1,388.32	2018-21
837	          $0.77	2018-2640
860	        $429.86	2018-581
867	        $109.06	2018-2374
871	         $58.60	2018-1294
871	         $58.60	2018-162
875	          $0.00	2018-2158
884	         $90.16	2018-770
905	         $48.02	2018-152
909	          $0.00	2018-2376
910	       $-133.60	2018-452
910	       $-133.60	2018-337
923	          $0.00	2018-2548
923	          $0.00	2018-1784
923	          $0.00	2018-1049
940	          $5.97	2018-2034
947	          $5.69	2018-2525
947	          $5.69	2018-1217
959	          $6.36	2018-1894
968	         $37.98	2018-2530
969	         $15.88	2018-2187
979	      $1,764.03	2018-2379
985	          $0.00	2018-2380
985	          $0.00	2018-1957
985	          $0.00	2018-1732
985	          $0.00	2018-1658
985	          $0.00	2018-1426
985	          $0.00	2018-1425
985	          $0.00	2018-1424
985	          $0.00	2018-1356
985	          $0.00	2018-1355
985	          $0.00	2018-1080
985	          $0.00	2018-1051
985	          $0.00	2018-1010
985	          $0.00	2018-990
985	          $0.00	2018-578
985	          $0.00	2018-577
985	          $0.00	2018-445
985	          $0.00	2018-247
999	          $4.17	2018-2587
999	          $4.17	2018-2381
1010	          $0.00	2018-705
1013	        $352.88	2018-2643
1013	        $352.88	2018-2642
1013	        $352.88	2018-2531
1013	        $352.88	2018-2064
1013	        $352.88	2018-1891
1014	          $7.70	2018-2382
1014	          $7.70	2018-2183
1029	          $0.00	2018-2413
1032	          $0.00	2018-2533
1032	          $0.00	2018-2250
1032	          $0.00	2018-1918
1061	         $29.73	2018-2664
1061	         $29.73	2018-2617
1061	         $29.73	2018-494
1069	         $15.18	2018-1015
1070	        $402.44	2018-735
1076	          $0.00	2018-2200
1076	          $0.00	2018-647
1083	          $0.00	2018-2388
1089	          $0.00	2018-2389
1107	          $0.00	2018-2391
1117	      $1,528.88	2018-2558
