~ACCTNO~|~TRDATE~|~TRTYPE~|~TRDESC~|~TRAMT~|~REV1~|~REV2~|~REV3~|~REV4~|~REV5~|~REV6~|~REV7~|~REV8~|~REV9~|~REV10~|~REV11~|~REV12~|~REV13~|~REV14~|~REV15~|~TAX1~|~TAX2~|~TAX3~|~TAX4~|~TAX5~|~TAX6~|~TAX7~|~TAX8~|~TAX9~|~TAX10~|~TAX11~|~TAX12~|~TAX13~|~TAX14~|~TAX15~|~MTY1~|~MTY2~|~MTY3~|~MTY4~|~MTY5~|~MTY6~|~MTY7~|~CRD1~|~CRD2~|~CRD3~|~CRD4~|~CRD5~|~CRD6~|~CRD7~|~PRD1~|~PRD2~|~PRD3~|~PRD4~|~PRD5~|~PRD6~|~PRD7~|~ERD1~|~ERD2~|~ERD3~|~ERD4~|~ERD5~|~ERD6~|~ERD7~|~BLNO~|~RDATE~|~BDATE~|~PDDATE~|~DDATE~|~PRP~|~OPNO~|~RBAL~|~CHKA~|~CSHA~|~PDATE~
~3~|~01/31/2018~|~1~|~Utility Billing~|~82.21~|~18.37~|~35.84~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~225960~|~0~|~0~|~0~|~0~|~0~|~0~|~220890~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~980~|~01/23/2018~|~01/31/2018~|~02/15/2018~|~02/12/2018~|~0~|~5~|~82.21~|~0.00~|~0.00~|~12/20/2017~
~3~|~01/17/2018~|~4~|~CM-ck#8168~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~56.70~|~0.00~|~~
~3~|~12/29/2017~|~1~|~Utility Billing~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~220890~|~0~|~0~|~0~|~0~|~0~|~0~|~219470~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~12/20/2017~|~12/29/2017~|~01/16/2018~|~01/10/2018~|~0~|~5~|~56.70~|~0.00~|~0.00~|~11/22/2017~
~3~|~12/12/2017~|~4~|~CM-8135~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~56.70~|~0.00~|~~
~3~|~11/30/2017~|~1~|~Utility Billing~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~219470~|~0~|~0~|~0~|~0~|~0~|~0~|~217710~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~11/22/2017~|~11/30/2017~|~12/15/2017~|~12/11/2017~|~0~|~5~|~56.70~|~0.00~|~0.00~|~10/25/2017~
~3~|~10/31/2017~|~4~|~CM-8130-pd oct/nov~|~119.07~|~20.84~|~36.56~|~48.00~|~4.00~|~4.00~|~0.00~|~5.67~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~119.07~|~0.00~|~~
~3~|~10/31/2017~|~1~|~Utility Billing~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~217710~|~0~|~0~|~0~|~0~|~0~|~0~|~215770~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~10/25/2017~|~10/31/2017~|~11/15/2017~|~11/10/2017~|~0~|~5~|~119.07~|~0.00~|~0.00~|~09/26/2017~
~3~|~10/17/2017~|~6~|~penalty~|~5.67~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~5.67~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~0~|~0~|~62.37~|~0.00~|~0.00~|~~
~3~|~09/29/2017~|~1~|~Utility Billing~|~56.70~|~10.42~|~18.28~|~24.00~|~2.00~|~2.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~3~|~0~|~0~|~0~|~0~|~0~|~0~|~215770~|~0~|~0~|~0~|~0~|~0~|~0~|~214090~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~2~|~09/26/2017~|~09/29/2017~|~10/16/2017~|~10/10/2017~|~0~|~5~|~56.70~|~0.00~|~0.00~|~08/23/2017~
~3~|~09/20/2017~|~4~|~CM-ck#8150~|~65.30~|~11.25~|~20.11~|~24.00~|~2.00~|~2.00~|~0.00~|~5.94~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0.00~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~0~|~~|~~|~~|~~|~~|~~|~~|~0~|~~|~~|~~|~~|~2~|~5~|~0.00~|~65.30~|~0.00~|~~
