Account| 1MtrNum|MTRMulti|MtrType|MTRUnit|NumUser|InsDate|CurRead|PrevRead|CurDate|PastDate|MeterID|Latitude|Longitude| 2MtrNum|MTRMulti|MtrType|MTRUnit|NumUser|InsDate|CurRead|PrevRead|CurDate|PastDate|MeterID|Latitude|Longitude| 3MtrNum|MTRMulti|MtrType|MTRUnit|NumUser|InsDate|CurRead|PrevRead|CurDate|PastDate|MeterID|Latitude|Longitude| 4MtrNum|MTRMulti|MtrType|MTRUnit|NumUser|InsDate|CurRead|PrevRead|CurDate|PastDate|MeterID|Latitude|Longitude| 5MtrNum|MTRMulti|MtrType|MTRUnit|NumUser|InsDate|CurRead|PrevRead|CurDate|PastDate|MeterID|Latitude|Longitude| 6MtrNum|MTRMulti|MtrType|MTRUnit|NumUser|InsDate|CurRead|PrevRead|CurDate|PastDate|MeterID|Latitude|Longitude| 7MtrNum|MTRMulti|MtrType|MTRUnit|NumUser|InsDate|CurRead|PrevRead|CurDate|PastDate|MeterID|Latitude|Longitude
1584||0|||0|??/??/????|0|0|??/??/????|??/??/????||0|0||0|||0|??/??/????|0|0|??/??/????|??/??/????||0|0||0|||0|??/??/????|0|0|??/??/????|??/??/????||0|0||0|||0|??/??/????|0|0|??/??/????|??/??/????||0|0||0|||0|??/??/????|0|0|??/??/????|??/??/????||0|0||0|||0|??/??/????|0|0|??/??/????|??/??/????||0|0||0|||0|??/??/????|0|0|??/??/????|??/??/????||0|0
3311|1830239580Z|10|T|G|1|06/09/2009|2797|2797|01/08/2010|12/21/2009|87361478|33.92215|-81.35575||1|||1|??/??/????|0|0|01/08/2010|07/01/2004||0|0||1|||1|??/??/????|0|0|01/08/2010|07/01/2004||0|0||1|||1|??/??/????|0|0|01/08/2010|07/01/2004||0|0||1|||1|??/??/????|0|0|01/08/2010|07/01/2004||0|0||1|||1|??/??/????|0|0|01/08/2010|07/01/2004||0|0||1|||1|??/??/????|0|0|01/08/2010|07/01/2004||0|0
3310|04042929|1000|T|G|1|??/??/????|257|257|??/??/????|06/18/2007||0|0||1|||1|??/??/????|0|0|06/18/2007|??/??/????||0|0||1|||1|??/??/????|0|0|06/18/2007|??/??/????||0|0||1|||1|??/??/????|0|0|06/18/2007|??/??/????||0|0||1|||1|??/??/????|0|0|06/18/2007|??/??/????||0|0||1|||1|??/??/????|0|0|06/18/2007|??/??/????||0|0||1|||1|??/??/????|0|0|06/18/2007|??/??/????||0|0
3301|02076394|1000|T|G|1|??/??/????|80|80|??/??/????|04/10/2006||0|0||1|||1|??/??/????|0|0|04/10/2006|06/28/2004||0|0||1|||1|??/??/????|0|0|04/10/2006|06/28/2004||0|0||1|||1|??/??/????|0|0|04/10/2006|06/28/2004||0|0||1|||1|??/??/????|0|0|04/10/2006|06/28/2004||0|0||1|||1|??/??/????|0|0|04/10/2006|06/28/2004||0|0||1|||1|??/??/????|0|0|04/10/2006|06/28/2004||0|0
3312|02123125|1000|T|G|1|??/??/????|101|101|07/05/2005|??/??/????||0|0||1|||1|??/??/????|0|0|07/05/2005|07/01/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/01/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/01/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/01/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/01/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/01/2004||0|0
3317|56782840|10|T|G|1|??/??/????|4699|4699|12/04/2006|??/??/????||0|0||1|||1|??/??/????|0|0|12/04/2006|??/??/????||0|0||1|||1|??/??/????|0|0|12/04/2006|??/??/????||0|0||1|||1|??/??/????|0|0|12/04/2006|??/??/????||0|0||1|||1|??/??/????|0|0|12/04/2006|??/??/????||0|0||1|||1|??/??/????|0|0|12/04/2006|??/??/????||0|0||1|||1|??/??/????|0|0|12/04/2006|??/??/????||0|0
3316|99093625|1000|T|G|1|??/??/????|499|499|07/05/2005|??/??/????||0|0||1|||1|??/??/????|0|0|07/05/2005|07/07/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/07/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/07/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/07/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/07/2004||0|0||1|||1|??/??/????|0|0|07/05/2005|07/07/2004||0|0
3315|02091888|1000|T|G|1|??/??/????|224|224|08/06/2007|??/??/????||0|0||1|||1|??/??/????|0|0|08/06/2007|11/13/2003||0|0||1|||1|??/??/????|0|0|08/06/2007|11/13/2003||0|0||1|||1|??/??/????|0|0|08/06/2007|11/13/2003||0|0||1|||1|??/??/????|0|0|08/06/2007|11/13/2003||0|0||1|||1|??/??/????|0|0|08/06/2007|11/13/2003||0|0||1|||1|??/??/????|0|0|08/06/2007|11/13/2003||0|0
3293|0400067000|1000|T|G|1|??/??/????|807|811|??/??/????|02/28/2005||0|0||1|||1|??/??/????|0|0|02/28/2005|06/14/2004||0|0||1|||1|??/??/????|0|0|02/28/2005|06/14/2004||0|0||1|||1|??/??/????|0|0|02/28/2005|06/14/2004||0|0||1|||1|??/??/????|0|0|02/28/2005|06/14/2004||0|0||1|||1|??/??/????|0|0|02/28/2005|06/14/2004||0|0||1|||1|??/??/????|0|0|02/28/2005|06/14/2004||0|0
3295|01052978|1000|T|G|1|??/??/????|67|67|??/??/????|10/19/2004||0|0||1|||1|??/??/????|0|0|10/19/2004|06/18/2004||0|0||1|||1|??/??/????|0|0|10/19/2004|06/18/2004||0|0||1|||1|??/??/????|0|0|10/19/2004|06/18/2004||0|0||1|||1|??/??/????|0|0|10/19/2004|06/18/2004||0|0||1|||1|??/??/????|0|0|10/19/2004|06/18/2004||0|0||1|||1|??/??/????|0|0|10/19/2004|06/18/2004||0|0
